Firstname,Middlename,Lastname,"House no.","Place of birth",Birthday,Age,"Civil status",Gender,"Voter status",email,"Contact Number",Occupation,Citezenship,"Sitio Pook"
"ROVEE ANN",MARTINEZ,ALVAREZ,165,"DASMARIÑAS CITY, CAVITE",2006-02-14,18,SINGLE,FEMALE,YES,alvarezrovee@gmail.com,9694911585,STUDENT,FILIPINO,"SITIO POOK"
"JOHN ERIC",CASTRO,CAJUDAY,381,"DASMARIÑAS CITY, CAVITE",2003-03-22,23,SINGLE,MALE,YES,jcajuday44@gmail.com,9694911585,N/A,FILIPINO,"SITIO POOK"
"KRISTINE JOY",ARANDIA,VIÑA,456,BULACAN,1995-09-28,25,SINGLE,FEMALE,YES,joy.vina@gmail.com,9694911585,STUDENT,FILIPINO,"SITIO ILAYA"
"ARRAH MARIE",FAJARDO,DIMAANDAL,"BLK 30 LOT 21","CALOOCAN CITY",1995-06-30,25,SINGLE,FEMALE,YES,arahhdimaandal04@gmail.com,9694911585,"BUSINESS OWNER",FILIPINO,"CAMELLA ISLAND PARK"
JHAZZENMHAY,DADOR,ALVAREZ,239,"DASMARIÑAS CITY, CAVITE",1996-11-07,24,SINGLE,FEMALE,YES,j.mhayalvarez@gmail.com,9694911585,BARISTA,FILIPINO,"SITIO POOK"
"MARY ANN",GARDOZA,VILLAMOR,"BLK 209 LOT 47",MANILA,1970-08-25,54,MARRIED,FEMALE,YES,mhane.villamor@gmail.com,9694911585,HOUSEWIFE,FILIPINO,"CAMELLA ISLAND PARK"
RONIE,CASTAÑEDA,TIEMPO,"BLK 24 LOT 5",CEBU,1985-09-17,39,MARRIED,MALE,YES,markboss05@gmail.com,9694911585,DRIVER,FILIPINO,"CAMELLA ISLAND PARK"
"MARK ANTHONY",HERNANDEZ,GIRON,"BLK 4 LOT 5","DAVAO CITY",1990-03-10,34,MARRIED,MALE,YES,mark.anthony@gmail.com,9694911585,EMPLOYEE,FILIPINO,"CAMELLA ISLAND PARK"
"MARY CATHERINE",JUSTO,GIRON,"BLK 4 LOT 5","BAGUIO CITY",1996-05-09,28,MARRIED,FEMALE,YES,cathy.justo@gmail.com,9694911585,EMPLOYEE,FILIPINO,"CAMELLA ISLAND PARK"
"JOHN MARK",DELGADO,VELOSO,269,"ANGELES CITY",1978-03-18,46,SINGLE,MALE,YES,jmveloso20@gmail.com,9694911585,VENDOR,FILIPINO,"SITIO POOK"
"CARLA ALEXANDRA",JIMENA,PERALTA,189,"QUEZON CITY",2002-04-20,22,SINGLE,FEMALE,YES,carlaalexandraperalta@gmail.com,9694911585,STUDENT,FILIPINO,"SITIO POOK"
ALICIA,JIMENA,PERALTA,189,"QUEZON CITY",1961-02-09,63,MARRIED,FEMALE,YES,aliciajimena02@gmail.com,9694911585,N/A,FILIPINO,"SITIO POOK"
