Fullname,"Contact No.",Age,"Civil Status",Gender,"Voter Status","House No.","Place of Birth",Birthday,Email,Citizenship,Occupation,Sitio/Pook
"Addison Faith Phillips",09123456828,28,Single,Female,"Not Registered",4747,Laguna,1995-08-11,addison.phillips@example.com,Filipino,"Fashion Designer","Purok 5"
"Hannah Joyce Carter",09123456826,25,Single,Female,Registered,4545,Rizal,1998-05-07,hannah.carter@example.com,Filipino,Student,"Purok 3"
"Penelope Grace Rivera",09123456824,31,Married,Female,Registered,4343,Bulacan,1992-02-22,penelope.rivera@example.com,Filipino,Dentist,"Purok 1"
"Zoey Marie Baker",09123456822,26,Single,Female,Registered,4141,Isabela,1997-04-05,zoey.baker@example.com,Filipino,Student,"Purok 4"
"Lily Anne Adams",09123456820,30,Married,Female,Registered,3939,"Ilocos Norte",1993-10-31,lily.adams@example.com,Filipino,Nurse,"Purok 2"
"Chloe Dawn Flores",09123456818,29,Single,Female,"Not Registered",3737,"Surigao City",1994-03-27,chloe.flores@example.com,Filipino,Artist,"Purok 5"
"Madison Paige Nguyen",09123456816,25,Single,Female,Registered,3535,Dumaguete,1998-08-09,madison.nguyen@example.com,Filipino,Receptionist,"Purok 3"
"Scarlett June Scott",09123456814,32,Divorced,Female,Registered,3333,"Puerto Princesa",1991-09-19,scarlett.scott@example.com,Filipino,"Hotel Manager","Purok 1"
"Avery Mae King",09123456812,29,Married,Female,"Not Registered",3131,Marawi,1994-10-15,avery.king@example.com,Filipino,Baker,"Purok 4"
"Victoria Lynn Young",09123456810,28,Single,Female,Registered,2929,"Cotabato City",1995-11-21,victoria.young@example.com,Filipino,"Sales Associate","Purok 2"
"Sofia Claire Robinson",09123456808,25,Single,Female,"Not Registered",2727,"Zamboanga City",1998-06-07,sofia.robinson@example.com,Filipino,Student,"Purok 5"
"Elizabeth Joy Ramirez",09123456806,31,Married,Female,Registered,2525,Bacolod,1992-12-03,elizabeth.ramirez@example.com,Filipino,Housewife,"Purok 3"
"Abigail Ruth Sanchez",09123456804,26,Single,Female,Registered,2323,Naga,1997-01-11,abigail.sanchez@example.com,Filipino,Teacher,"Purok 1"
"Evelyn Hope White",09123456802,28,Single,Female,"Not Registered",2121,Lucena,1995-09-17,evelyn.white@example.com,Filipino,"Call Center Agent","Purok 4"
"Harper Faith Perez",09123456800,27,Single,Female,Registered,1919,Baguio,1996-04-14,harper.perez@example.com,Filipino,Journalist,"Purok 2"
"Amelia Kate Martin",09123456798,29,Married,Female,Registered,1717,"Angeles City",1994-12-25,amelia.martin@example.com,Filipino,"Bank Teller","Purok 5"
"Charlotte Louise Moore",09123456796,34,Single,Female,Registered,1515,Muntinlupa,1989-08-04,charlotte.moore@example.com,Filipino,"Marketing Manager","Purok 3"
"Mia Santos Villanueva",09123456794,24,Single,Female,"Not Registered",1313,Pasay,1999-03-08,mia.villanueva@example.com,Filipino,Student,"Purok 1"
"Isabel Reyes Ortiz",09123456792,29,Single,Female,Registered,1111,Navotas,1994-09-22,isabel.ortiz@example.com,Filipino,Pharmacist,"Purok 4"
"Sofia Vargas Aquino",09123456790,26,Single,Female,"Not Registered",909,Caloocan,1997-01-28,sofia.aquino@example.com,Filipino,"Graphic Designer","Purok 2"
"Elena Gomez Flores",09123456788,43,Divorced,Female,Registered,707,"Las Piñas",1980-03-17,elena.flores@example.com,Filipino,Teacher,"Purok 5"
"Teresa Fernandez Romero",09123456786,35,Married,Female,Registered,505,Mandaluyong,1988-12-25,teresa.romero@example.com,Filipino,Dentist,"Purok 3"
"Carmen Lopez Martinez",09123456784,31,Single,Female,Registered,303,Pasig,1992-04-14,carmen.martinez@example.com,Filipino,Lawyer,"Purok 1"
"Ana Perez Diaz",09123456782,28,Single,Female,"Not Registered",101,"Davao City",1995-02-18,ana.diaz@example.com,Filipino,Accountant,"Purok 4"
"Maria Santos Reyes",09123456780,33,Single,Female,Registered,456,"Quezon City",1990-08-22,maria.reyes@example.com,Filipino,Nurse,"Purok 2"
