"Names","Address","Date/Time","Vehicle","Status"
"Amos Wright","234 Cedar Rd","2024-02-21 / 18:45:00","Chevrolet Cruze","Active"
"Ella Taylor","321 Oak Dr","2025-04-20 / 16:30:00","Mazda 6","Active"
"Logan Martinez","234 Maple Rd","2025-04-19 / 14:00:00","Hyundai Tucson","Active"
"Henry White","123 Birch Blvd","2025-04-18 / 12:45:00","Toyota RAV4","Active"
"Jack Lewis","345 Oak Blvd","2025-04-17 / 10:15:00","Ram 2500","Active"
"Avery Cooper","123 Willow Dr","2025-04-16 / 08:00:00","Kia Soul","Active"
"Charlotte Perez","654 Maple Rd","2025-04-15 / 22:30:00","Toyota Highlander","Active"
"Harper Nelson","234 Cedar Ln","2025-04-14 / 20:00:00","Chevrolet Traverse","Active"
"Grace Adams","123 Birch Rd","2025-04-13 / 18:45:00","Toyota Tacoma","Active"
"Megan Taylor","876 Cedar Ln","2025-04-12 / 16:00:00","Hyundai Elantra","Active"
