"Name Involved",Address,Date,Time,Vehicle,License,"Plate Number",Status,"Cause of Incident"
"John Doe","123 Main St",2024-02-28,08:00:00,"Toyota Corolla",ABC123,XYZ1234,Settled,"Rear-end collision"
"Jim Brown","789 Pine Rd",2025-04-02,10:15:00,"Ford F-150",LMN456,ABC9876,Active,"Pedestrian hit"
"David Green","654 Elm St",2025-04-03,12:30:00,"Tesla Model 3",DEF789,OPQ5678,Active,Speeding
"Lucas Black","123 Birch Ln",2025-04-04,03:45:00,"Nissan Altima",XYZ345,MNO3456,Active,Tailgating
"Mason Scott","654 Pine Ave",2025-04-05,05:00:00,"Subaru Outback",CDE123,STU2345,Active,"Weather-related accident"
"Ava Martinez","234 Maple Ave",2025-04-06,07:00:00,"Ford Mustang",LMN456,TUV3456,Active,"Disobeying stop sign"
"Elijah Garcia","678 Birch Blvd",2025-04-07,09:00:00,"Toyota Prius",GHI012,XYZ6789,Active,"Animal crossing road"
"Daniel Harris","123 Pine St",2025-04-08,07:45:00,"Ram 1500",CDE234,VWX1234,Active,"Rearview mirror hit"
"James Robinson","654 Oak Rd",2025-04-09,09:30:00,"Mazda CX-5",LMN567,QWE1234,Active,"Unlicensed driving"
"Benjamin Walker","321 Birch Ave",2025-04-10,12:00:00,"Chevrolet Silverado",GHI345,MNO2345,Active,"Pedestrian injury"
"Lucas Perez","654 Elm Blvd",2025-04-11,02:30:00,"Ford Explorer",DEF678,XYZ7890,Active,"Road rage incident"
"Megan Taylor","876 Cedar Ln",2025-04-12,04:00:00,"Hyundai Elantra",LMN890,STU3456,Active,"Aggressive driving"
"Grace Adams","123 Birch Rd",2025-04-13,06:45:00,"Toyota Tacoma",GHI678,XYZ8901,Active,"Hit-and-run collision"
"Harper Nelson","234 Cedar Ln",2025-04-14,08:00:00,"Chevrolet Traverse",DEF234,XYZ1234,Active,"Driving under the influence"
"Charlotte Perez","654 Maple Rd",2025-04-15,10:30:00,"Toyota Highlander",GHI234,PQR1234,Active,"Tailgate accident"
"Avery Cooper","123 Willow Dr",2025-04-16,08:00:00,"Kia Soul",LMN678,STU2345,Active,"Reckless driving"
"Jack Lewis","345 Oak Blvd",2025-04-17,10:15:00,"Ram 2500",GHI890,XYZ0123,Active,"Collided with bicycle"
"Henry White","123 Birch Blvd",2025-04-18,12:45:00,"Toyota RAV4",LMN123,PQR4567,Active,"Accident on icy road"
"Logan Martinez","234 Maple Rd",2025-04-19,02:00:00,"Hyundai Tucson",DEF123,XYZ6789,Active,"Underage driver"
"Ella Taylor","321 Oak Dr",2025-04-20,04:30:00,"Mazda 6",LMN234,QWE1234,Active,"Crosswalk accident"
"Amos Wright","234 Cedar Rd",2025-04-21,06:45:00,"Chevrolet Cruze",DEF678,ABC2345,Active,"Lost control"
